y,x1,x2,x3,x4,x5,x6,x7,x8
250,116.561,190.736,127.157,153.649,121.859,111.263,100.666,158.947
100,105.965,180.14,137.754,211.929,121.859,158.947,196.034,164.245
90,249.017,317.894,254.315,312.595,259.613,286.104,301.999,349.683
70,264.911,397.367,418.56,349.683,407.963,423.858,397.367,466.244
50,455.647,423.858,450.349,317.894,402.665,413.262,556.314,513.928
40,593.401,874.207,958.979,588.103,805.33,932.488,853.014,784.137
30,8604.318,8768.563,7984.426,7433.411,10384.522,11327.606,6394.958,5488.962
20,111151.484,96756.203,118558.398,112083.969,120126.672,126569.32,115215.219,115427.148
10,131072.813,111935.617,107304.969,127083.242,124089.75,128868.75,130293.969,120614.109
5,132323.187,119480.289,120900.219,122664.523,144562.094,129515.133,131009.234,131750.984
0,131634.422,116587.461,120826.039,114521.156,129096.57,133038.453,118516.016,144249.5
